Rank,Title,Watched
1,The Godfather,False
2,The Empire Strikes Back,False
3,The Dark Knight,False
4,The Shawshank Redemption,False
5,Pulp Fiction,False
6,Goodfellas,False
7,Raiders Of The Lost Ark,False
8,Jaws,False
9,Star Wars,False
10,The Lord Of The Rings: The Fellowship Of The Ring,False
11,Back To The Future,False
12,12: The Godfather Part II,False
13,Blade Runner,False
14,Alien,False
15,Aliens,False
16,The Lord Of The Rings: The Return Of The King,False
17,Fight Club,False
18,Inception,False
19,Jurassic Park,False
20,Die Hard,False
21,2001: A Space Odyssey,False
22,Apocalypse Now,False
23,The Lord Of The Rings: The Two Towers,False
24,The Matrix,False
25,Terminator 2: Judgment Day,False
26,Heat,False
27,The Good, The Bad And The Ugly,False
28,Casablanca,False
29,The Big Lebowski,False
30,Seven,False
31,Taxi Driver,False
32,The Usual Suspects,False
33,Schindler's List,False
34,Guardians Of The Galaxy,False
35,The Shining,False
36,The Departed,False
37,The Thing,False
38,Mad Max: Fury Road,False
39,Saving Private Ryan,False
40,12 Angry Men,False
41,Eternal Sunshine Of The Spotless Mind,False
42,There Will Be Blood,False
43,One Flew Over The Cuckoo's Nest,False
44,Gladiator,False
45,Drive,False
46,Citizen Kane,False
47,Interstellar,False
48,The Silence Of The Lambs,False
49,Trainspotting,False
50,Lawrence Of Arabia,False
51,It's A Wonderful Life,False
52,Once Upon A Time In The West,False
53,Psycho,False
54,Vertigo,False
55,Pan's Labyrinth,False
56,Reservoir Dogs,False
57,Whiplash,False
58,Inglourious Basterds,False
59,E.T. â The Extra Terrestrial,False
60,American Beauty,False
61,Forrest Gump,False
62,La La Land,False
63,Donnie Darko,False
64,L.A. Confidential,False
65,Avengers Assemble,False
66,Return Of The Jedi,False
67,Memento,False
68,Ghostbusters,False
69,Singin' In The Rain,False
70,The Lion King,False
71,Hot Fuzz,False
72,Rear Window,False
73,Seven Samurai,False
74,Mulholland Dr.,False
75,Fargo,False
76,A Clockwork Orange,False
77,Toy Story,False
78,Oldboy,False
79,Captain America: Civil War,False
80,Spirited Away,False
81,The Social Network,False
82,Some Like It Hot,False
83,True Romance,False
84,Rocky,False
85,LÃ©on,False
86,Indiana Jones And The Last Crusade,False
87,Predator,False
88,The Exorcist,False
89,Shaun Of The Dead,False
90,No Country For Old Men,False
91,The Prestige,False
92,The Terminator,False
93,The Princess Bride,False
94,Lost In Translation,False
95,Arrival,False
96,Good Will Hunting,False
97,Titanic,False
98,Amelie,False
99,Raging Bull,False
100,Stand By Me,False
